det_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa K;Sidiyasa, K;;;;;;;;;;;;;;;;;;;
"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;Ambriansyah;;;;;;;;;;;;;;;;;;
;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler PJA;Kessler, PJA;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols JB;Mols, JB;;;;;;;;;;;;;;;;;;;;;
"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
