scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx
0.0;Artabotrys;cagayanensis;Merr.;Adduru, M;136.0;nan;136.0;nan;01/05/1917 - 18/06/1917;1;5;1917;Merrill, ED;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province;0.0;121.9;17.617;0;0.0;P00389821;P00389821;Adduru;Adduru, M.;Merrill, E.D.;PHL;ACCEPTED;Artabotrys cagayanensis;https://ipni.org/n/72363-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Orophea;cumingiana;S.Vidal;Adduru, M;148.0;nan;148.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0;0.0;P01987514;P01987514;Adduru;Adduru, M.;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Polyalthia;suberosa;(Roxb.) Thwaites;Adduru, M;38.0;nan;38.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Alcala, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.656;17.903;0;0.0;P01983819;P01983819;Adduru;Adduru, M.;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Mitrephora;reflexa;Merr.;Adduru, M;63.0;nan;63.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Quibal. Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.7594281;17.3379754;0;0.0;P01967893;P01967893;Adduru;Adduru, M.;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
Drepananthus;acuminatus;nan;nan;Burley, John Stuart;Collector Number: 178;Collector;178.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;nan;120.917;13.4667;BPBM;BISH;BISH620170;620170;Burley;Burley, John Stuart;Indonesia, United States of America;;nan;nan;Burley, J.S.;J.S.Burley;Burley, JS;PHL;Drepananthus acuminatus;ACCEPTED;Drepananthus acuminatus;(C.B.Rob.) Survesw. & R.M.K.Saunders;https://ipni.org/n/77109466-1;;True;;nan;nan;nan;nan;nan;;;
Friesodielsia;auriculata;nan;nan;Ramos, Maximo;43245;nan;43245.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K;Herbarium;K000691758;K000691758;Ramos;Ramos, Maximo;Malaysia, Philippines;;nan;nan;Ramos, M.;;Ramos, M;PHL;Friesodielsia auriculata;ACCEPTED;Friesodielsia auriculata;(Elmer) Steenis;https://ipni.org/n/73092-1;;True;;nan;nan;nan;nan;nan;;;
Meiogyne;mindorensis;nan;nan;Mabesa, Calixto;25388;nan;25388.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Province of Laguna, Luzon;nan;121.33;14.17;K;Herbarium;K000691920;K000691920;Mabesa;Mabesa, Calixto;Philippines;;nan;nan;Mabesa, C.;;Mabesa, C;PHL;Meiogyne mindorensis;ACCEPTED;Meiogyne mindorensis;(Merr.) Heusden;https://ipni.org/n/977588-1;;True;;nan;nan;nan;nan;nan;;;
Meiogyne;mindorensis;nan;nan;Ramos, Maximo;35026;nan;35026.0;nan;nan;;6;1918;nan;nan;;;;PH;Philippines;nan;Nearest Named Place: Siargao Island;nan;126.04586;9.84829;NHMUK;BOT;BM0-00632901;BM0-00632901;Ramos;Ramos, Maximo;Malaysia, Philippines;;nan;nan;M. Ramos & J. Pascasio;;Ramos, M ;PHL;Meiogyne mindorensis;ACCEPTED;Meiogyne mindorensis;(Merr.) Heusden;https://ipni.org/n/977588-1;;True;;nan;nan;nan;nan;nan;;;
Meiogyne;mindorensis;nan;nan;Williams, Robert Stratham;512;nan;512.0;nan;nan;24;1;1904;nan;nan;;;;PH;Philippines;nan;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;nan;120.48;14.53;K;Herbarium;K000691918;K000691918;Williams;Williams, Robert Stratham;Bolivia, Canada, Panama, Peru, Philippines, United States of America;;nan;nan;Williams, R.S.;;Williams, RS;PHL;Meiogyne mindorensis;ACCEPTED;Meiogyne mindorensis;(Merr.) Heusden;https://ipni.org/n/977588-1;;True;;nan;nan;nan;nan;nan;;;
Mitrephora;pictiflora;nan;nan;Ramos, Maximo;41501;nan;41501.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Cabalian, Leyte;nan;125.22;10.28;K;Herbarium;K000691986;K000691986;Ramos;Ramos, Maximo;Malaysia, Philippines;;nan;nan;Ramos, M.;;Ramos, M;PHL;Mitrephora pictiflora;ACCEPTED;Mitrephora pictiflora;Elmer;https://ipni.org/n/74034-1;;True;;nan;nan;nan;nan;nan;;;
Orophea;cumingiana;nan;nan;Elmer, Adolph Daniel Edward;6434;nan;6434.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Prov Benguet. Kias  Luzon;nan;120.57;16.33;K;Herbarium;K000574845;K000574845;Elmer;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;;nan;nan;Elmer, A.D.E.;;Elmer, ADE;PHL;Orophea cumingiana;ACCEPTED;Orophea cumingiana;S.Vidal;https://ipni.org/n/74213-1;;True;;nan;nan;nan;nan;nan;;;
Phaeanthus;ophthalmicus;nan;nan;Burley, John Stuart;Collector Number: 181;Collector;181.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;nan;120.917;13.4667;BPBM;BISH;BISH62016911111, BISH620167;620167;Burley;Burley, John Stuart;Indonesia, United States of America;;nan;nan;Burley, J.S.;J.S.Burley;Burley, JS;PHL;Phaeanthus ophthalmicus;ACCEPTED;Phaeanthus ophthalmicus;(Roxb. ex G.Don) J.Sinclair;https://ipni.org/n/74450-1;;True;;nan;nan;nan;nan;nan;;;
Polyalthia;mindorensis;nan;nan;Burley, John Stuart;Collector Number: 179;Collector;179.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;nan;120.917;13.4667;BPBM;BISH;BISH620169;620169;Burley;Burley, John Stuart;Indonesia, United States of America;;nan;nan;Burley, J.S.;J.S.Burley;Burley, JS;PHL;Polyalthia mindorensis;ACCEPTED;Polyalthia mindorensis;Merr.;https://ipni.org/n/77070439-1;;True;;nan;nan;nan;nan;nan;;;
Pseuduvaria;luzoniensis;nan;nan;Ramos, Maximo;43211;nan;43211.0;nan;nan;;;;nan;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K;Herbarium;K000574830;K000574830;Ramos;Ramos, Maximo;Malaysia, Philippines;;nan;nan;Ramos, M.;;Ramos, M;PHL;Pseuduvaria luzoniensis;ACCEPTED;Pseuduvaria luzoniensis;(Merr.) Y.C.F.Su & R.M.K.Saunders;https://ipni.org/n/20002930-1;;True;;nan;nan;nan;nan;nan;;;
Uvaria;concava;nan;nan;Elmer, Adolph Daniel Edward;13015, 13015;nan;13015.0;nan;nan;;4;1911;Turner, IM, Turner, IM;nan;;;;PH;Philippines;nan;Puerto Princesa (Mount Pulgar);nan;119.200154;10.2204165;NHMUK, NHMUK;BOT, BOT;BM0-00885795, BM0-00885795;BM0-00885795, BM0-00885795;Elmer;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;;nan;nan;nan;;;PHL;Uvaria concava;ACCEPTED;Uvaria concava;Teijsm. & Binn.;https://ipni.org/n/75624-1;;True;;nan;nan;nan;nan;nan;;;
